MMWR Year,Jurisdiction of Occurrence,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
2020,Oregon,40851.0,37130.0,10.0,8377.0,1373.0,2042.0,225.0,1975.0,332.0,129.0,443.0,7490.0,2260.0,1633.0,1416.0
2020,Pennsylvania,159048.0,146073.0,2379.0,28496.0,4324.0,4616.0,2443.0,6187.0,2281.0,2987.0,2602.0,33509.0,7123.0,18789.0,17079.0
2020,Rhode Island,12338.0,11319.0,0.0,2168.0,87.0,339.0,0.0,228.0,0.0,0.0,0.0,2404.0,198.0,1881.0,1576.0
2020,South Carolina,61187.0,55371.0,906.0,10710.0,1973.0,2607.0,635.0,3074.0,957.0,1004.0,219.0,11493.0,2852.0,5810.0,5283.0
2020,South Dakota,10263.0,9400.0,0.0,1804.0,84.0,329.0,0.0,214.0,0.0,0.0,0.0,1847.0,192.0,1668.0,1543.0
2020,Tennessee,89783.0,80749.0,1011.0,15107.0,2715.0,3717.0,1695.0,4765.0,1176.0,1131.0,884.0,18891.0,4154.0,8127.0,7462.0
2020,Texas,257463.0,236962.0,3528.0,43248.0,8169.0,12202.0,3644.0,10676.0,3003.0,4539.0,1858.0,51573.0,12024.0,34128.0,31937.0
2020,Utah,22513.0,20093.0,0.0,3580.0,753.0,1161.0,81.0,953.0,46.0,76.0,0.0,4457.0,961.0,1662.0,1427.0
2020,Vermont,6253.0,5638.0,0.0,1382.0,0.0,33.0,0.0,93.0,0.0,0.0,0.0,1524.0,10.0,107.0,96.0
2020,Virginia,80696.0,74049.0,978.0,15463.0,2636.0,2897.0,1149.0,3464.0,1297.0,1655.0,692.0,15805.0,4085.0,6287.0,5793.0
2020,Washington,63906.0,57866.0,561.0,12997.0,2105.0,3749.0,664.0,2771.0,722.0,187.0,358.0,12215.0,3135.0,3750.0,3326.0
2020,West Virginia,26048.0,23146.0,55.0,4713.0,1084.0,885.0,259.0,1657.0,11.0,411.0,141.0,5154.0,911.0,1564.0,1415.0
2020,Wisconsin,63343.0,57284.0,539.0,11783.0,1702.0,2641.0,638.0,2836.0,580.0,873.0,53.0,12810.0,2845.0,6371.0,5486.0
2020,Wyoming,5626.0,5008.0,0.0,959.0,0.0,21.0,0.0,136.0,0.0,0.0,0.0,1137.0,0.0,416.0,363.0
2021,Alabama,66961.0,61867.0,1140.0,10205.0,1615.0,2674.0,986.0,3211.0,970.0,1124.0,1082.0,14898.0,3257.0,9569.0,8958.0
2021,Alaska,6059.0,5172.0,0.0,1034.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,999.0,0.0,726.0,650.0
2021,Arizona,82104.0,73546.0,379.0,12944.0,2532.0,2753.0,936.0,3527.0,1083.0,847.0,887.0,14695.0,3296.0,13844.0,12776.0
2021,Arkansas,39852.0,36744.0,468.0,6495.0,1472.0,1545.0,394.0,2397.0,188.0,747.0,20.0,8467.0,1789.0,5266.0,4732.0
2021,California,332310.0,303503.0,1806.0,59659.0,11421.0,16848.0,4643.0,11539.0,2991.0,4677.0,2097.0,65348.0,18285.0,47036.0,43235.0
2021,Colorado,49007.0,42740.0,301.0,8107.0,1219.0,1780.0,22.0,2313.0,683.0,411.0,10.0,8236.0,2104.0,6173.0,5404.0
2021,Connecticut,34621.0,31338.0,453.0,6601.0,723.0,1080.0,187.0,1179.0,497.0,573.0,117.0,6776.0,1456.0,3069.0,2740.0
2021,Delaware,11275.0,10185.0,0.0,2201.0,71.0,166.0,0.0,294.0,0.0,0.0,0.0,2155.0,752.0,1185.0,999.0
2021,Florida,264007.0,239817.0,2897.0,46763.0,8075.0,6641.0,2890.0,11014.0,2826.0,3489.0,3579.0,50740.0,15838.0,38654.0,35138.0
2021,Georgia,112250.0,102802.0,1860.0,18230.0,2954.0,4419.0,1308.0,4702.0,2213.0,2295.0,1270.0,21874.0,5211.0,17135.0,15701.0
2021,Hawaii,12859.0,11858.0,0.0,2541.0,122.0,406.0,0.0,158.0,0.0,11.0,0.0,2693.0,942.0,578.0,504.0
2021,Idaho,18301.0,16637.0,0.0,3093.0,380.0,751.0,0.0,902.0,11.0,11.0,0.0,3408.0,724.0,2757.0,2437.0
2021,Illinois,120576.0,110009.0,1606.0,23019.0,3305.0,3985.0,1634.0,4782.0,1482.0,2571.0,1325.0,25420.0,6496.0,11687.0,10540.0
2021,Indiana,79009.0,71696.0,931.0,13935.0,2581.0,2248.0,695.0,4299.0,1188.0,1441.0,224.0,15372.0,3452.0,9944.0,8772.0
2021,Iowa,33886.0,31423.0,121.0,6209.0,1028.0,1192.0,154.0,1658.0,197.0,195.0,193.0,7697.0,1388.0,3459.0,2949.0
2021,Kansas,30932.0,28132.0,31.0,5227.0,911.0,784.0,169.0,1458.0,126.0,316.0,15.0,6146.0,1312.0,3755.0,3369.0
2021,Kentucky,60157.0,54432.0,940.0,10271.0,1750.0,1573.0,680.0,3249.0,876.0,1148.0,573.0,11643.0,2368.0,8628.0,7572.0
2021,Louisiana,57292.0,50897.0,1073.0,9143.0,1942.0,2094.0,574.0,2151.0,1091.0,1102.0,504.0,12538.0,2751.0,6860.0,6300.0
2021,Maine,17095.0,15440.0,0.0,3357.0,404.0,362.0,0.0,865.0,32.0,21.0,0.0,3352.0,544.0,1375.0,1226.0
2021,Maryland,64381.0,57175.0,884.0,11605.0,1763.0,1125.0,486.0,1793.0,463.0,646.0,44.0,13509.0,3409.0,6634.0,5629.0
2021,Massachusetts,63747.0,58251.0,879.0,12728.0,1550.0,1539.0,789.0,2417.0,1041.0,1250.0,747.0,12024.0,2269.0,5492.0,4877.0
2021,Michigan,115708.0,106420.0,1221.0,20925.0,3383.0,4173.0,1297.0,5134.0,1205.0,1931.0,633.0,26268.0,5686.0,14879.0,13260.0
2021,Minnesota,51280.0,46352.0,261.0,10298.0,1564.0,2225.0,116.0,2066.0,626.0,313.0,1152.0,8474.0,2359.0,5129.0,4258.0
2021,Mississippi,40120.0,36593.0,53.0,6471.0,1490.0,1672.0,633.0,2136.0,212.0,665.0,43.0,8722.0,1871.0,5829.0,5035.0
2021,Missouri,76225.0,69064.0,1079.0,13552.0,1898.0,2520.0,914.0,3667.0,1428.0,1616.0,519.0,16048.0,3355.0,8852.0,8092.0
2021,Montana,12748.0,11425.0,0.0,2158.0,79.0,43.0,0.0,433.0,11.0,0.0,0.0,2542.0,213.0,1736.0,1530.0
2021,Nebraska,19036.0,17689.0,0.0,3593.0,462.0,588.0,10.0,955.0,10.0,10.0,0.0,3781.0,830.0,1859.0,1549.0
2021,Nevada,33830.0,30435.0,12.0,5226.0,876.0,774.0,299.0,1471.0,11.0,57.0,62.0,7596.0,1521.0,5592.0,5262.0
2021,New Hampshire,13802.0,12600.0,0.0,2735.0,140.0,185.0,0.0,602.0,0.0,0.0,0.0,2803.0,359.0,1088.0,941.0
2021,New Jersey,83290.0,77037.0,2023.0,15250.0,2031.0,2402.0,1146.0,2472.0,1862.0,1656.0,1219.0,18414.0,3715.0,9492.0,8388.0
2021,New Mexico,24513.0,21352.0,0.0,3719.0,791.0,508.0,32.0,1001.0,130.0,79.0,0.0,4110.0,889.0,3668.0,3287.0
2021,New York,178939.0,165620.0,2119.0,32535.0,4768.0,3482.0,3752.0,5826.0,2837.0,2417.0,2620.0,41947.0,6527.0,23600.0,21066.0
2021,North Carolina,118438.0,107218.0,1680.0,20414.0,3938.0,4257.0,1544.0,4729.0,1715.0,2251.0,1215.0,21431.0,5692.0,15039.0,13612.0
2021,North Dakota,8069.0,7330.0,0.0,1344.0,11.0,79.0,0.0,69.0,0.0,0.0,0.0,1550.0,63.0,813.0,686.0
2021,Ohio,146964.0,133947.0,2071.0,25046.0,4458.0,4978.0,1645.0,6399.0,2237.0,2269.0,1605.0,30435.0,7205.0,20344.0,18008.0
