MMWR Year,Jurisdiction of Occurrence,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
2020,Maryland,68082,61006,922,12146,1793,1192,887,2097,422,685,10,14333,3269,7743,6940
2020,Massachusetts,69916,64770,925,12889,1577,1746,1314,2587,988,1267,680,11979,2319,10322,9504
2020,Michigan,117064,108130,1275,21176,3418,4921,1873,5654,1229,1932,551,27119,5874,12493,11391
2020,Minnesota,52926,48414,258,10212,1499,2623,345,2229,578,337,1132,8664,2307,5915,5176
2020,Mississippi,39893,36651,42,6515,1454,2041,879,2233,260,788,31,8788,1854,5244,4645
2020,Missouri,77352,70451,1019,13608,1872,2938,1220,3955,1608,1761,465,16514,3530,8193,7470
2020,Montana,12177,10999,0,2146,94,91,21,576,0,0,0,2453,223,1233,1084
2020,Nebraska,19981,18617,0,3639,526,786,72,1093,0,10,10,3594,887,2262,2023
2020,Nevada,31862,28887,0,5489,925,941,325,1711,13,71,57,7592,1551,3594,3362
2020,New Hampshire,13740,12550,0,2769,90,318,22,565,0,11,0,2877,430,780,684
2020,New Jersey,96836,90857,2097,15639,2477,2731,1674,3013,2155,1691,1273,19898,3723,18335,16828
2020,New Mexico,23449,20723,0,3590,755,682,144,1142,44,59,0,4262,890,2919,2750
2020,New York,204272,192092,1737,33320,5485,3864,4768,6674,2833,2510,2335,48836,6411,38853,35837
2020,North Carolina,111762,101465,1644,20490,3617,4777,1858,5277,1674,2144,905,20784,5833,9013,8132
2020,North Dakota,8956,8229,0,1398,11,168,21,100,0,0,0,1578,108,1430,1283
2020,Ohio,146122,133564,2073,25324,4439,6077,2076,7111,2231,2216,1812,31013,7180,15417,13906
2020,Oklahoma,47151,43146,205,8293,1537,1831,488,2906,109,273,12,11733,1880,5374,4664
2020,Oregon,40851,37130,10,8377,1373,2042,225,1975,332,129,443,7490,2260,1633,1416
2020,Pennsylvania,159048,146073,2379,28496,4324,4616,2443,6187,2281,2987,2602,33509,7123,18789,17079
2020,Rhode Island,12338,11319,0,2168,87,339,0,228,0,0,0,2404,198,1881,1576
2020,South Carolina,61187,55371,906,10710,1973,2607,635,3074,957,1004,219,11493,2852,5810,5283
2020,South Dakota,10263,9400,0,1804,84,329,0,214,0,0,0,1847,192,1668,1543
2020,Tennessee,89783,80749,1011,15107,2715,3717,1695,4765,1176,1131,884,18891,4154,8127,7462
2020,Texas,257463,236962,3528,43248,8169,12202,3644,10676,3003,4539,1858,51573,12024,34128,31937
2020,Utah,22513,20093,0,3580,753,1161,81,953,46,76,0,4457,961,1662,1427
2020,Vermont,6253,5638,0,1382,0,33,0,93,0,0,0,1524,10,107,96
2020,Virginia,80696,74049,978,15463,2636,2897,1149,3464,1297,1655,692,15805,4085,6287,5793
2020,Washington,63906,57866,561,12997,2105,3749,664,2771,722,187,358,12215,3135,3750,3326
2020,West Virginia,26048,23146,55,4713,1084,885,259,1657,11,411,141,5154,911,1564,1415
2020,Wisconsin,63343,57284,539,11783,1702,2641,638,2836,580,873,53,12810,2845,6371,5486
2020,Wyoming,5626,5008,0,959,0,21,0,136,0,0,0,1137,0,416,363
2021,Alabama,66961,61867,1140,10205,1615,2674,986,3211,970,1124,1082,14898,3257,9569,8958
2021,Alaska,6059,5172,0,1034,0,0,0,33,0,0,0,999,0,726,650
2021,Arizona,82104,73546,379,12944,2532,2753,936,3527,1083,847,887,14695,3296,13844,12776
2021,Arkansas,39852,36744,468,6495,1472,1545,394,2397,188,747,20,8467,1789,5266,4732
2021,California,332310,303503,1806,59659,11421,16848,4643,11539,2991,4677,2097,65348,18285,47036,43235
2021,Colorado,49007,42740,301,8107,1219,1780,22,2313,683,411,10,8236,2104,6173,5404
2021,Connecticut,34621,31338,453,6601,723,1080,187,1179,497,573,117,6776,1456,3069,2740
2021,Delaware,11275,10185,0,2201,71,166,0,294,0,0,0,2155,752,1185,999
2021,Florida,264007,239817,2897,46763,8075,6641,2890,11014,2826,3489,3579,50740,15838,38654,35138
2021,Georgia,112250,102802,1860,18230,2954,4419,1308,4702,2213,2295,1270,21874,5211,17135,15701
2021,Hawaii,12859,11858,0,2541,122,406,0,158,0,11,0,2693,942,578,504
2021,Idaho,18301,16637,0,3093,380,751,0,902,11,11,0,3408,724,2757,2437
2021,Illinois,120576,110009,1606,23019,3305,3985,1634,4782,1482,2571,1325,25420,6496,11687,10540
2021,Indiana,79009,71696,931,13935,2581,2248,695,4299,1188,1441,224,15372,3452,9944,8772
2021,Iowa,33886,31423,121,6209,1028,1192,154,1658,197,195,193,7697,1388,3459,2949
2021,Kansas,30932,28132,31,5227,911,784,169,1458,126,316,15,6146,1312,3755,3369
2021,Kentucky,60157,54432,940,10271,1750,1573,680,3249,876,1148,573,11643,2368,8628,7572
2021,Louisiana,57292,50897,1073,9143,1942,2094,574,2151,1091,1102,504,12538,2751,6860,6300
2021,Maine,17095,15440,0,3357,404,362,0,865,32,21,0,3352,544,1375,1226
2021,Maryland,64381,57175,884,11605,1763,1125,486,1793,463,646,44,13509,3409,6634,5629
2021,Massachusetts,63747,58251,879,12728,1550,1539,789,2417,1041,1250,747,12024,2269,5492,4877
2021,Michigan,115708,106420,1221,20925,3383,4173,1297,5134,1205,1931,633,26268,5686,14879,13260
2021,Minnesota,51280,46352,261,10298,1564,2225,116,2066,626,313,1152,8474,2359,5129,4258
2021,Mississippi,40120,36593,53,6471,1490,1672,633,2136,212,665,43,8722,1871,5829,5035
2021,Missouri,76225,69064,1079,13552,1898,2520,914,3667,1428,1616,519,16048,3355,8852,8092
2021,Montana,12748,11425,0,2158,79,43,0,433,11,0,0,2542,213,1736,1530
2021,Nebraska,19036,17689,0,3593,462,588,10,955,10,10,0,3781,830,1859,1549
2021,Nevada,33830,30435,12,5226,876,774,299,1471,11,57,62,7596,1521,5592,5262
2021,New Hampshire,13802,12600,0,2735,140,185,0,602,0,0,0,2803,359,1088,941
2021,New Jersey,83290,77037,2023,15250,2031,2402,1146,2472,1862,1656,1219,18414,3715,9492,8388
2021,New Mexico,24513,21352,0,3719,791,508,32,1001,130,79,0,4110,889,3668,3287
2021,New York,178939,165620,2119,32535,4768,3482,3752,5826,2837,2417,2620,41947,6527,23600,21066
2021,North Carolina,118438,107218,1680,20414,3938,4257,1544,4729,1715,2251,1215,21431,5692,15039,13612
2021,North Dakota,8069,7330,0,1344,11,79,0,69,0,0,0,1550,63,813,686
2021,Ohio,146964,133947,2071,25046,4458,4978,1645,6399,2237,2269,1605,30435,7205,20344,18008
2021,Oklahoma,48926,44595,101,8116,1575,1543,303,2773,126,247,22,11904,1845,7742,6666
2021,Oregon,44877,40394,0,8560,1422,2037,23,1880,348,139,564,7787,2343,4160,3648
