Year,State,Natural Cause,Diabetes,Alzheimers,Influenza_pneumonia,Symptoms_not_elsewhere_classified,Diseases_of_heart,COVID_19_Multiple,COVID_19_Underlying
2022,California,285879,11590,17318,5278,2846,66515,22270,17431
2022,Colorado,41234,1223,1866,276,34,8526,3386,2279
2022,Connecticut,31628,728,1076,423,129,6978,2546,2012
2022,Delaware,10215,110,249,10,0,2202,651,412
2022,Florida,218695,7617,6349,2921,3820,50595,16846,12455
2022,Georgia,92902,2685,4264,1332,1272,21742,7180,5663
2022,Hawaii,12203,88,423,31,55,2884,503,279
2022,Idaho,15344,235,842,43,0,3455,1000,621
2022,Illinois,108625,3391,4091,1928,1290,25975,8610,6849
2022,Indiana,68889,2514,2266,855,234,15576,5966,4689
2022,Iowa,31087,996,1353,236,135,7746,2214,1642
2022,Kansas,27742,956,925,219,52,6292,2350,1876
2022,Kentucky,51473,1678,1496,833,616,11588,5723,4095
2022,Louisiana,46154,1651,2089,478,448,12300,3092,2264
2022,Maine,15349,444,393,65,0,3570,955,616
2022,Maryland,55378,1772,1200,565,23,13372,4558,3148
2022,Massachusetts,58276,1513,1565,909,950,12463,4295,3187
2022,Michigan,99544,3384,4158,1398,717,26796,8016,5759
2022,Minnesota,45902,1514,2359,300,1217,9082,3330,2204
2022,Mississippi,33448,1257,1679,674,22,8722,3164,2189
2022,Missouri,66500,1886,2620,1074,185,16407,5389,4402
2022,Montana,10482,62,54,0,0,2564,522,319
2022,Nebraska,17300,400,698,77,0,3800,1175,725
2022,Nevada,28511,911,859,496,47,7596,2688,2192
2022,New Hampshire,12895,190,234,0,0,2932,679,387
2022,New Jersey,74858,2087,2317,1150,1593,18581,6507,4913
2022,New Mexico,19712,785,664,126,10,4268,1957,1464
2022,New York,158160,4769,3182,3991,2884,42712,14791,10886
2022,North Carolina,100453,3732,4211,1435,1706,21275,8259,6258
2022,North Dakota,6972,35,58,0,0,1671,362,239
2022,Ohio,125016,4230,4949,1872,1561,29898,11834,9156
2022,Oklahoma,42017,1525,1583,421,253,11938,4528,3171
2022,Oregon,40022,1440,2013,158,672,8074,2787,1864
2022,Pennsylvania,133790,4104,4027,2006,2298,32383,11501,8632
2022,Rhode Island,9965,43,315,0,0,2377,583,350
2022,South Carolina,53426,1757,2414,525,151,11835,4559,3363
2022,South Dakota,8223,56,171,0,0,1840,478,288
2022,Tennessee,78627,2780,2950,1406,932,19275,7197,5683
2022,Texas,221640,7912,10451,3066,2731,51074,18524,14908
2022,Utah,20207,764,1084,50,58,4617,1252,868
2022,Vermont,5939,0,55,12,0,1545,164,67
2022,Virginia,74959,2842,2515,996,1142,16716,5953,4588
2022,Washington,61552,2190,3675,679,797,13143,4135,2888
2022,West Virginia,24183,1045,698,335,436,5301,2344,1746
2022,Wisconsin,53815,1467,2352,454,318,13020,3870,2780
2022,Wyoming,4828,0,0,0,0,1100,181,131
2023,Alabama,19994,517,865,333,608,5300,600,416
2023,Alaska,1457,0,0,0,0,279,0,0
2023,Arizona,25053,937,1099,425,926,5939,718,460
2023,Arkansas,12659,485,569,190,217,3136,370,201
2023,California,108040,4416,6265,2167,5682,24765,3386,2315
2023,Colorado,15659,436,717,60,633,3102,502,206
2023,Connecticut,11695,256,395,227,399,2568,382,256
2023,Delaware,3809,33,23,0,54,891,118,0
2023,Florida,83121,2814,2331,1252,3708,19359,2622,1746
2023,Georgia,32084,924,1564,505,691,7640,1060,694
2023,Hawaii,4598,20,129,22,348,1001,10,0
2023,Idaho,5748,88,280,21,170,1289,67,22
2023,Illinois,39870,1067,1510,746,2127,9263,1175,791
2023,Indiana,24169,855,848,345,152,5717,750,472
2023,Iowa,11462,326,556,144,47,2961,382,194
2023,Kansas,10597,357,348,87,491,2348,315,179
2023,Kentucky,17674,618,527,264,207,3963,911,505
2023,Louisiana,15266,534,658,161,192,4145,415,247
2023,Maine,6027,178,203,38,133,1361,181,88
2023,Maryland,20316,702,458,215,676,4784,749,418
2023,Massachusetts,22773,573,677,417,1670,4324,876,587
2023,Michigan,36386,1207,1579,615,1305,9702,1326,808
2023,Minnesota,16925,557,886,122,474,3358,751,446
2023,Mississippi,11630,443,668,237,171,3014,460,236
2023,Missouri,23582,685,900,430,58,5816,725,552
2023,Montana,3951,11,31,0,36,934,36,12
2023,Nebraska,6601,189,269,12,53,1454,223,68
2023,Nevada,10413,391,328,202,507,2693,226,126
2023,New Hampshire,5008,44,90,0,100,1143,130,84
2023,New Jersey,27721,685,870,434,1660,6699,1039,673
2023,New Mexico,7181,283,208,49,434,1580,211,117
2023,New York,59829,1735,1196,1645,3848,15597,2394,1511
2023,North Carolina,38594,1312,1560,593,2303,8017,1474,905
2023,North Dakota,2652,0,65,0,0,641,0,0
2023,Ohio,45006,1540,1811,734,2316,10475,1665,1062
2023,Oklahoma,15044,456,549,207,1148,4177,669,349
2023,Oregon,14609,498,757,76,778,2928,425,234
2023,Pennsylvania,50050,1441,1573,793,1887,12050,1946,1238
2023,Rhode Island,4006,10,169,0,217,917,47,0
2023,South Carolina,19680,611,867,176,1063,4391,784,417
2023,South Dakota,2908,21,42,0,0,675,11,0
2023,Tennessee,28711,985,965,517,1483,6778,1130,743
2023,Texas,80998,2896,3812,1229,3506,18332,2611,1798
2023,Utah,7609,248,401,43,244,1763,40,11
2023,Vermont,2226,0,22,0,14,540,22,0
2023,Virginia,28113,948,856,349,1769,6082,1015,645
2023,Washington,22835,745,1327,260,975,4768,715,450
2023,West Virginia,8846,356,170,134,508,2008,345,234
2023,Wisconsin,20253,549,929,247,1043,4773,616,397
2023,Wyoming,1807,0,0,0,24,401,0,0
